S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency
1,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91,Araria - 9
2,SHAHNAWAZ,Rashtriya Janata Dal,578904,1148,580052,46.31,Araria - 9
3,SHATRUGHAN PRASAD SUMAN,Independent,13697,49,13746,1.1,Araria - 9
4,MD GHOUSUL AZAM,Bahujan Samaj Party,12672,18,12690,1.01,Araria - 9
5,MD. MOBINUL HAQUE,Independent,12005,3,12008,0.96,Araria - 9
6,MD. ISMAIL,Bharatiya Momin Front,7353,1,7354,0.59,Araria - 9
7,AKHILESH KUMAR,Independent,5086,34,5120,0.41,Araria - 9
8,MUSHTAK ALAM,Independent,4897,2,4899,0.39,Araria - 9
9,ZAWED AKHTAR,The National Road Map Party of India,3037,4,3041,0.24,Araria - 9
10,NOTA,None of the Above,13438,66,13504,1.08,Araria - 9
1,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),526564,2818,529382,48.28,Arrah - 32
2,R. K. SINGH,Bharatiya Janata Party,464736,4838,469574,42.82,Arrah - 32
3,VIRENDRA KUMAR SINGH,Independent,23630,5,23635,2.16,Arrah - 32
4,SHIV DAS SINGH,Independent,13373,6,13379,1.22,Arrah - 32
5,LAL BADSAH SINGH,Bahujan Samaj Party,10631,195,10826,0.99,Arrah - 32
6,KRISHNA PASWAN,Bhartiya Kranti Vir Party,8709,40,8749,0.8,Arrah - 32
7,RANDHIR LAL,Independent,5765,1,5766,0.53,Arrah - 32
8,NAVNIT KUMAR,Independent,4764,9,4773,0.44,Arrah - 32
9,RAM SARE SINGH,Peoples Party of India (Democratic),2531,10,2541,0.23,Arrah - 32
10,DHARMATMA SHARMA,Socialist Unity Centre Of India (COMMUNIST),2449,18,2467,0.22,Arrah - 32
11,RAMJEE SINGH,Voters Party International,2435,5,2440,0.22,Arrah - 32
12,ASHOK TIWARY,Independent,2263,32,2295,0.21,Arrah - 32
13,MANMOHAN SINGH,Rashtrawadi Janlok Party (Satya),2055,42,2097,0.19,Arrah - 32
14,SUMITRA DEVI,Jagrook Janta Party,1640,34,1674,0.15,Arrah - 32
15,NOTA,None of the Above,16864,99,16963,1.55,Arrah - 32
1,ABHAY KUMAR SINHA,Rashtriya Janata Dal,463845,1722,465567,49.22,Aurangabad - 37
2,SUSHIL KUMAR SINGH,Bharatiya Janata Party,384819,1637,386456,40.86,Aurangabad - 37
3,SUNESH KUMAR,Bahujan Samaj Party,20232,77,20309,2.15,Aurangabad - 37
4,PRATIBHA RANI,Peoples Party of India (Democratic),12265,43,12308,1.3,Aurangabad - 37
5,RAJ BALLABH SINGH,Independent,11150,9,11159,1.18,Aurangabad - 37
6,RAMJIT SINGH,Rashtriya Jansambhavna Party,9237,6,9243,0.98,Aurangabad - 37
7,SURESH PRASAD VERMA,Independent,6704,7,6711,0.71,Aurangabad - 37
8,MOHAMMAD WALIULLAH KHAN,Independent,6591,13,6604,0.7,Aurangabad - 37
9,SHAILESH RAHI,Akhil Hind Forward Bloc (Krantikari),4892,4,4896,0.52,Aurangabad - 37
10,NOTA,None of the Above,22566,61,22627,2.39,Aurangabad - 37
1,GIRIDHARI YADAV,Janata Dal (United),505674,1004,506678,49.96,Banka - 27
2,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,401567,1267,402834,39.72,Banka - 27
3,NARESH YADAV,Independent,14936,3,14939,1.47,Banka - 27
4,JAY PRAKASH YADAV,Rashtriya Jansambhavna Party,12254,23,12277,1.21,Banka - 27
5,AMRIT TANTI,Bhartiya Dalit Party,9615,55,9670,0.95,Banka - 27
6,NARESH KUMAR PRIYADARSHI,Independent,8103,22,8125,0.8,Banka - 27
7,GANESH KUMAR KUSHAWAHA,Samata Party,7627,18,7645,0.75,Banka - 27
8,UTTAM KUMAR SINGH,Aam Janta Party Rashtriya,6874,37,6911,0.68,Banka - 27
9,KAVINDRA PANDIT,Socialist Unity Centre Of India (COMMUNIST),5226,20,5246,0.52,Banka - 27
10,UMAKANT YADAV,Independent,4932,9,4941,0.49,Banka - 27
11,NOTA,None of the Above,34808,81,34889,3.44,Banka - 27
1,GIRIRAJ SINGH,Bharatiya Janata Party,646912,2419,649331,50.15,Begusarai - 24
2,ABDHESH KUMAR ROY,Communist Party of India,564310,3541,567851,43.86,Begusarai - 24
3,INDRAJEET KUMAR ROY,Independent,12947,6,12953,1.0,Begusarai - 24
4,RAJNISH KUMAR MUKHIYA,Rashtriya Jansambhavna Party,10846,26,10872,0.84,Begusarai - 24
5,ADV CHANDAN KUMAR DAS,Bahujan Samaj Party,8362,91,8453,0.65,Begusarai - 24
6,RAM BADAN RAI,Karpoori Janta Dal,6599,45,6644,0.51,Begusarai - 24
7,MD SHAHNAWAZ HASSAN,Independent,6144,8,6152,0.48,Begusarai - 24
8,ARUN KUMAR,Independent,4030,15,4045,0.31,Begusarai - 24
9,RAJ KUMAR SAH,Akhil Bhartiya Parivar Party,3329,21,3350,0.26,Begusarai - 24
10,RAMUDGAR,Socialist Unity Centre Of India (COMMUNIST),2633,7,2640,0.2,Begusarai - 24
11,NOTA,None of the Above,22283,99,22382,1.73,Begusarai - 24
